positive,negative
"##Training Scenario: Operation Silent Thunder
**Commander’s Intent:**

* Destroy the REDLAND's radar installation and supply depot.
* Ensure 90% bombs on target.
* Maximum 40% BLUELAND Air Force losses.
* Minimize REDLAND's ability to detect incoming aircraft.

**Force Composition:**

* REDLAND Air Force: three S-300 surface-to-air missile systems, six MiG-29 fighter jets, and four ZSU-23-4 Shilka self-propelled anti-aircraft gun systems.
* REDLAND Ground Forces: 800 troops armed with light infantry weapons and RPGs.

**Geography:**

* Distance to REDLAND threats: Radar installation: 5 km west of the target, Supply depot: 8 km north of the target.
* Environmental Conditions: Dawn mission with clear skies and visibility of 10 km. Target located in a hilly area with sparse vegetation.

**Surrounding Conditions:**

* REDLAND's Air Force is conducting routine patrols, with increased radar surveillance.
* REDLAND's ground forces have set up temporary checkpoints 10 km from the target, but no major reinforcements are expected.
* BLUELAND's intelligence reports indicate REDLAND may have mobile SAM units in the vicinity, but their exact positions are unknown.

**Target(s) Details:**

* Radar installation consists of three radar dishes and a control building.
* Supply depot includes two warehouses and an open storage area containing fuel and ammunition.
* Both targets are protected by reinforced concrete structures.

**Rules of Engagement:**

* Engage only identified hostile forces within the mission area.
* Avoid civilian casualties and damage to non-military structures.
* Use precision-guided munitions to minimize collateral damage.
* REDLAND forces will engage if provoked but are not expected to initiate contact unless necessary.","##Training Scenario: Operation Silent Thunder
**Commander’s Intent:**

* Destroy REDLAND's key facilities.

**Force Composition:**

* REDLAND Air Force: various fighter jets and missile systems.
* REDLAND Ground Forces: several troops with various weapons.

**Geography:**

* Distance to target: 100 km
* Environmental Conditions: Dawn mission.

**Surrounding Conditions:**

* REDLAND is on alert with routine patrols.

**Target(s) Details:**

* Key facilities including radar and supply depots.

**Rules of Engagement:**

* Minimize collateral damage and civilian casualties."
"##Training Scenario: Operation Iron Wave
**Commander’s Intent:**

* Neutralize the enemy's main artillery positions. Destroy their logistics depot.
* Achieve 95% target hit accuracy.
* Maximum 30% BLUELAND Air Force losses.
* Disrupt REDLAND's artillery support capabilities.

**Force Composition:**

* REDLAND Air Force: four SA-15 Gauntlet surface-to-air missile systems, eight Su-27 fighter jets, and five 2S6 Tunguska self-propelled anti-aircraft systems.
* REDLAND Ground Forces: 700 troops equipped with anti-tank missiles and heavy machine guns.

**Geography:**

* Distance to REDLAND threats: Artillery positions: 12 km southwest of the target, Logistics depot: 10 km east of the target.
* Environmental Conditions: Daytime mission with overcast skies and visibility of 8 km. The target is located in a forested area with dense tree cover.

**Surrounding Conditions:**

* REDLAND's Air Force is on moderate alert, with sporadic patrols in the area.
* REDLAND's ground forces are actively fortifying positions around the target area.
* BLUELAND's intelligence indicates potential minefields around the logistics depot.

**Target(s) Details:**

* Artillery positions include six howitzer batteries and four multiple rocket launcher systems.
* Logistics depot consists of three large warehouses and a fuel storage facility.
* Both targets are fortified with sandbags and concrete barriers.

**Rules of Engagement:**

* Engage only confirmed military targets within the mission area.
* Avoid civilian casualties and minimize damage to non-military structures.
* Use precision-guided munitions to ensure accuracy.
* REDLAND forces are authorized to engage upon detecting incoming aircraft.","##Training Scenario: Operation Iron Wave
**Commander’s Intent:**

* Neutralize enemy positions and disrupt logistics.

**Force Composition:**

* REDLAND Air Force: several missile systems and fighter jets.
* REDLAND Ground Forces: troops with various weapons.

**Geography:**

* Distance to target: approximately 10 km.
* Environmental Conditions: Daytime mission.

**Surrounding Conditions:**

* REDLAND forces are on alert.

**Target(s) Details:**

* Artillery positions and logistics depot.

**Rules of Engagement:**

* Engage confirmed military targets.
* Minimize civilian casualties."
"##Training Scenario: Operation Thunderstrike
**Commander’s Intent:**

* Destroy REDLAND's main fuel depot and adjacent ammunition storage facility.
* Ensure 85% target destruction rate.
* Maximum 25% BLUELAND Air Force losses.
* Cripple REDLAND's resupply capabilities.

**Force Composition:**

* REDLAND Air Force: six SA-10 Grumble surface-to-air missile systems, ten MiG-31 interceptor aircraft, and five 9K22 Tunguska anti-aircraft gun/missile systems.
* REDLAND Ground Forces: 600 troops with portable air-defense systems (MANPADS) and anti-tank guided missiles.

**Geography:**

* Distance to REDLAND threats: Fuel depot: 6 km north of the target, Ammunition storage facility: 8 km east of the target.
* Environmental Conditions: Dusk mission with light rain and visibility of 6 km. Target area is located in a semi-industrial zone with several large storage tanks and warehouses.

**Surrounding Conditions:**

* REDLAND's Air Force is on high alert, with constant patrols and radar monitoring.
* REDLAND's ground forces have increased their defensive positions around the target area.
* BLUELAND's intelligence reports potential electronic warfare (EW) units in the vicinity, capable of jamming communications.

**Target(s) Details:**

* Fuel depot includes six large storage tanks and two refueling stations.
* Ammunition storage facility consists of four reinforced bunkers and an open storage area for artillery shells.
* Both targets are surrounded by high fences and guard towers.

**Rules of Engagement:** 

* Engage only military targets within the designated zone.
* Avoid civilian structures and limit collateral damage.
* Use smart munitions to ensure precise hits.
* REDLAND forces will respond to any detected threats immediately.","##Training Scenario: Operation Thunderstrike
**Commander’s Intent:**

* Disable REDLAND's supply capabilities by targeting key depots.

**Force Composition:**

* REDLAND Air Force: a number of missile systems and interceptors.
* REDLAND Ground Forces: troops equipped with various defense systems.

**Geography:**

* Distance to targets: within a 10 km radius.
* Environmental Conditions: Dusk mission with some rain.

**Surrounding Conditions:**

* REDLAND is maintaining high alert status with active patrols.

**Target(s) Details:**

* Key supply depots including fuel and ammunition storage.

**Rules of Engagement:**

* Engage only hostile military targets.
* Avoid civilian"
"##Training Scenario: Operation Desert Storm
**Commander’s Intent:**

* Destroy REDLAND’s primary command center and air defense radar installation.
* Achieve 90% target destruction.
* Maximum 20% BLUELAND Air Force losses.
* Sever REDLAND’s command and control capabilities.

**Force Composition:**

* REDLAND Air Force: eight SA-11 Gadfly surface-to-air missile systems, twelve Su-35 fighter jets, and six 2K22 Tunguska anti-aircraft gun/missile systems.
* REDLAND Ground Forces: 1,000 troops equipped with small arms, anti-tank missiles, and mobile SAM launchers.

**Geography:**

* Distance to REDLAND threats: Command center: 5 km north of the target, Radar installation: 7 km east of the target.
* Environmental Conditions: Nighttime mission with clear skies and visibility of 8 km. The target is located in a desert area with sparse vegetation and flat terrain.

**Surrounding Conditions:**

* REDLAND’s Air Force is on high alert with frequent air patrols and radar sweeps.
* REDLAND’s ground forces have established defensive perimeters around the target areas.
* BLUELAND intelligence indicates possible presence of mobile EW units capable of disrupting communication.

**Target(s) Details:**

* Command center is housed in a reinforced underground bunker with multiple entry points and heavy security.
* Radar installation includes three large radar dishes and a control tower.
* Both targets are heavily fortified with concrete barriers and anti-aircraft emplacements.

**Rules of Engagement:**

* Engage only confirmed military targets within the designated zone.
* Avoid civilian casualties and limit damage to non-military infrastructure.
* Utilize precision-guided munitions to ensure accuracy.
* REDLAND forces will engage any detected threats without hesitation.","##Training Scenario: Operation Desert Storm
**Commander’s Intent:**

* Destroy REDLAND’s main command center and disrupt air defenses.

**Force Composition:**

* REDLAND Air Force: several missile systems and fighter jets.
* REDLAND Ground Forces: troops with various weapons.

**Geography:**

* Distance to targets: around 10 km.
* Environmental Conditions: Nighttime mission.

**Surrounding Conditions:**

* REDLAND is on high alert with regular patrols.

**Target(s) Details:**

* Command center and radar installation.

**Rules of Engagement:**

* Engage confirmed hostile targets.
* Minimize collateral damage."
"##Training Scenario: Operation Steel Talon
**Commander’s Intent:**

* Destroy REDLAND’s strategic bridge and adjacent supply convoy.
* Ensure 80% target destruction.
* Maximum 15% BLUELAND Air Force losses.
* Disrupt REDLAND’s troop movement and resupply routes.

**Force Composition:**

* REDLAND Air Force: four S-400 Triumf surface-to-air missile systems, six MiG-29 fighter jets, and eight ZSU-23-4 Shilka anti-aircraft gun systems.
* REDLAND Ground Forces: 800 troops equipped with MANPADS and anti-tank guided missiles.

**Geography:**

* Distance to REDLAND threats: Bridge: 3 km west of the target, Supply convoy: 5 km south of the target.
* Environmental Conditions: Dawn mission with fog and visibility of 3 km. Target area includes a river with dense foliage along the banks.

**Surrounding Conditions:**

* REDLAND’s Air Force is on moderate alert with periodic air patrols.
* REDLAND’s ground forces are actively patrolling the area and setting up checkpoints.
* BLUELAND intelligence indicates possible deployment of mobile radar units near the bridge.

**Target(s) Details:**

* The strategic bridge is a reinforced concrete structure with heavy guard presence.
* The supply convoy consists of 20 vehicles including fuel trucks and ammunition carriers.
* Both targets are protected by nearby anti-aircraft emplacements and infantry units.

**Rules of Engagement:**

* Engage only confirmed military targets within the mission zone.
* Avoid civilian casualties and limit damage to non-military infrastructure.
* Use precision-guided munitions to ensure accuracy.
* REDLAND forces will respond to any detected threats immediately.","##Training Scenario: Operation Steel Talon
**Commander’s Intent:**

* Disrupt REDLAND’s resupply routes by destroying key targets.

**Force Composition:**

* REDLAND Air Force: a mix of missile systems and fighter jets.
* REDLAND Ground Forces: troops with defensive equipment.

**Geography:**

* Distance to targets: approximately 5 km.
* Environmental Conditions: Dawn mission with some fog.

**Surrounding Conditions:**

* REDLAND forces are on alert with regular patrols.

**Target(s) Details:**

* Strategic bridge and supply convoy.

**Rules of Engagement:**

* Engage confirmed military targets.
* Minimize civilian casualties.
"
"##Training Scenario: Operation Iron Shield
**Commander’s Intent:**

* Destroy REDLAND’s forward operating base and neutralize their air defense systems.
* Ensure 85% target destruction.
* Maximum 20% BLUELAND Air Force losses.
* Prevent REDLAND from launching further air operations from this base.

**Force Composition:**

* REDLAND Air Force: five SA-6 Gainful surface-to-air missile systems, eight MiG-29 fighter jets, and four ZSU-23-4 Shilka anti-aircraft gun systems.
* REDLAND Ground Forces: 1,200 troops with small arms, RPGs, and mobile SAM launchers.

**Geography:**

* Distance to REDLAND threats: Forward operating base: 6 km north of the target, Air defense systems: 4 km east of the target.
* Environmental Conditions: Nighttime mission with scattered clouds and visibility of 7 km. The target area is in a mountainous region with rugged terrain.

**Surrounding Conditions:**

* REDLAND’s Air Force is on high alert with frequent air patrols and radar monitoring.
* REDLAND’s ground forces have fortified the area with sandbags and trenches.
* BLUELAND intelligence suggests the presence of mobile EW units capable of jamming communications.

**Target(s) Details:**

* The forward operating base includes two large hangars, a command center, and several storage facilities.
* Air defense systems are strategically placed around the base and are heavily camouflaged.
* Both targets are protected by multiple layers of defenses, including infantry and anti-aircraft emplacements.

**Rules of Engagement:**

* Engage only confirmed military targets within the designated zone.
* Avoid civilian casualties and minimize damage to non-military structures.
* Use precision-guided munitions to ensure accuracy.
* REDLAND forces will engage any detected threats without delay.","##Training Scenario: Operation Iron Shield
**Commander’s Intent:**

* Disrupt REDLAND’s operations by targeting their forward base and air defenses.

**Force Composition:**

* REDLAND Air Force: a variety of missile systems and fighter jets.
* REDLAND Ground Forces: troops equipped with various weapons.

**Geography:**

* Distance to targets: approximately 6 km.
* Environmental Conditions: Nighttime mission with some clouds.

**Surrounding Conditions:**

* REDLAND forces are on high alert with regular patrols and radar monitoring.

**Target(s) Details:**

* Forward operating base and air defense systems.

**Rules of Engagement:**

* Engage confirmed military targets.
* Minimize civilian casualties."
"##Training Scenario: Operation Phantom Strike
**Commander’s Intent:**

* Destroy REDLAND’s munitions factory and adjacent air defense command post.
* Achieve 90% target destruction.
* Maximum 25% BLUELAND Air Force losses.
* Sever REDLAND’s supply chain and air defense coordination capabilities.

**Force Composition:**

* REDLAND Air Force: six SA-15 Tor-M1 surface-to-air missile systems, ten Su-30 fighter jets, and eight Pantsir-S1 anti-aircraft systems.
* REDLAND Ground Forces: 900 troops equipped with MANPADS, anti-tank guided missiles, and heavy machine guns.

**Geography:**

* Distance to REDLAND threats: Munitions factory: 4 km south of the target, Air defense command post: 3 km east of the target.
* Environmental Conditions: Dawn mission with light fog and visibility of 5 km. The target area is located in an industrial zone with several large warehouses and storage tanks.

**Surrounding Conditions:**

* REDLAND’s Air Force is on high alert with continuous air patrols and radar surveillance.
* REDLAND’s ground forces have established defensive positions around the target area.
* BLUELAND intelligence reports potential use of electronic warfare (EW) units capable of jamming GPS signals.

**Target(s) Details:**

* Munitions factory consists of three large manufacturing buildings, storage facilities, and a shipping yard.
* Air defense command post includes a central control building, radar installations, and communication towers.
* Both targets are heavily guarded by infantry and anti-aircraft emplacements.

**Rules of Engagement:**

* Engage only confirmed military targets within the designated zone.
* Avoid civilian casualties and minimize damage to non-military infrastructure.
* Use precision-guided munitions to ensure accuracy.
* REDLAND forces will respond to any detected threats immediately.","##Training Scenario: Operation Phantom Strike
**Commander’s Intent:**

* Disrupt REDLAND’s operations by targeting key installations.

**Force Composition:**

* REDLAND Air Force: various missile systems and fighter jets.
* REDLAND Ground Forces: troops with defensive weapons.

**Geography:**

* Distance to targets: around 5 km.
* Environmental Conditions: Dawn mission with some fog.

**Surrounding Conditions:**

* REDLAND forces are on high alert with frequent patrols and radar surveillance.

**Target(s) Details:**

* Munitions factory and air defense command post.

**Rules of Engagement:**

* Engage confirmed military targets.
* Minimize collateral damage and avoid civilian casualties."
"##Training Scenario: Operation Midnight Raid
**Commander’s Intent:**

* Destroy REDLAND’s coastal radar station and disable their naval communication hub.
* Achieve 85% target destruction.
* Maximum 15% BLUELAND Air Force losses.
* Impair REDLAND’s coastal defense and communication capabilities.

**Force Composition:**

* REDLAND Air Force: four SA-8 Gecko surface-to-air missile systems, six MiG-21 fighter jets, and five ZSU-23-4 Shilka anti-aircraft gun systems.
* REDLAND Naval Forces: one patrol boat equipped with surface-to-air missiles and two coastal defense artillery units.

**Geography:**

* Distance to REDLAND threats: Radar station: 2 km inland from the coast, Communication hub: 4 km south of the radar station.
* Environmental Conditions: Midnight mission with overcast skies and visibility of 4 km. The target area includes coastal cliffs and dense vegetation.

**Surrounding Conditions:**

* REDLAND’s Naval Forces are on high alert with active patrols along the coastline.
* REDLAND’s ground forces have fortified the radar station and communication hub with sandbags and machine gun nests.
* BLUELAND intelligence reports possible presence of underwater mines near the coastal approach.

**Target(s) Details:**

* Coastal radar station consists of a main radar tower, control building, and power generator.
* Naval communication hub includes a main building, several satellite dishes, and communication antennas.
* Both targets are heavily guarded by infantry and anti-aircraft emplacements.

**Rules of Engagement:**

* Engage only confirmed military targets within the designated zone.
* Avoid civilian casualties and minimize damage to non-military structures.
* Use precision-guided munitions to ensure accuracy.
* REDLAND forces will respond to any detected threats immediately.","##Training Scenario: Operation Midnight Raid
**Commander’s Intent:**

* Disrupt REDLAND’s coastal operations by targeting key installations.

**Force Composition:**

* REDLAND Air Force: various missile systems and fighter jets.
* REDLAND Naval Forces: patrol boat with missiles and coastal artillery.

**Geography:**

* Distance to targets: approximately 4 km.
* Environmental Conditions: Midnight mission with overcast skies.

**Surrounding Conditions:**

* REDLAND forces are on high alert with regular patrols and fortified positions.

**Target(s) Details:**

* Coastal radar station and communication hub.

**Rules of Engagement:**

* Engage confirmed military targets.
* Minimize collateral damage and avoid civilian casualties."
"##Training Scenario: Operation Glacier Break
**Commander’s Intent:**

* Destroy REDLAND’s forward supply depot and neutralize their field headquarters.
* Achieve 90% target destruction.
* Maximum 10% BLUELAND Air Force losses.
* Disrupt REDLAND’s logistical support and command operations in the region.

**Force Composition:**

* REDLAND Air Force: six SA-13 Gopher surface-to-air missile systems, eight Su-25 attack aircraft, and five 2S6 Tunguska anti-aircraft gun/missile systems.
* REDLAND Ground Forces: 1,500 troops with small arms, RPGs, and mobile SAM launchers.

**Geography:**

* Distance to REDLAND threats: Supply depot: 3 km north of the target, Field headquarters: 2 km east of the supply depot.
* Environmental Conditions: Daytime mission with clear skies and visibility of 10 km. The target area is located in a mountainous region with snow-covered terrain.

**Surrounding Conditions:**

* REDLAND’s Air Force is on high alert with continuous air patrols and radar surveillance.
* REDLAND’s ground forces have set up defensive positions around the supply depot and headquarters, including snow camouflage and fortified bunkers.
* BLUELAND intelligence indicates the presence of mobile EW units capable of jamming communications.

**Target(s) Details:**

* Supply depot includes multiple storage buildings, fuel tanks, and vehicle maintenance facilities.
* Field headquarters consists of a main command building, communication center, and several smaller support structures.
* Both targets are heavily guarded by infantry and anti-aircraft emplacements.

**Rules of Engagement:**

* Engage only confirmed military targets within the designated zone.
* Avoid civilian casualties and minimize damage to non-military infrastructure.
* Use precision-guided munitions to ensure accuracy.
* REDLAND forces will engage any detected threats immediately.","##Training Scenario: Operation Glacier Break
**Commander’s Intent:**

* Disrupt REDLAND’s operations by targeting key logistical and command points.

**Force Composition:**

* REDLAND Air Force: several missile systems and attack aircraft.
* REDLAND Ground Forces: troops with various defensive equipment.

**Geography:**

* Distance to targets: around 3-4 km.
* Environmental Conditions: Daytime mission with clear skies.

**Surrounding Conditions:**

* REDLAND forces are on high alert with regular patrols and defensive positions.

**Target(s) Details:**

* Forward supply depot and field headquarters.

**Rules of Engagement:**

* Engage confirmed military targets.
* Minimize collateral damage and avoid civilian casualties."
"##Training Scenario: Operation Frostbite
**Commander’s Intent:**

* Disable REDLAND’s main radar installation and destroy their coastal defense batteries.
* Achieve 80% target destruction rate.
* Maximum 20% BLUELAND Air Force losses.
* Neutralize REDLAND’s ability to detect and respond to maritime threats.

**Force Composition:**

* REDLAND Air Force: four S-300 surface-to-air missile systems, six Su-27 fighter jets, and three 9K33 Osa short-range SAM systems.
* REDLAND Coastal Defense Forces: two coastal defense batteries equipped with artillery and anti-ship missiles.

**Geography:**

* Distance to REDLAND threats: Radar installation: 5 km inland from the coast, Coastal defense batteries: 3 km south of the radar installation.
* Environmental Conditions: Nighttime mission with scattered clouds and visibility of 8 km. The target area is located on a rocky coastline with rugged terrain.

**Surrounding Conditions:**

* REDLAND’s Air Force is on moderate alert with sporadic air patrols.
* REDLAND’s coastal defense forces are actively monitoring maritime traffic along the coast.
* BLUELAND intelligence indicates potential presence of underwater obstacles near the coastline.

**Target(s) Details:**

* Radar installation consists of a central radar tower, command center, and support buildings.
* Coastal defense batteries include concrete bunkers, gun emplacements, and missile launchers.
* Both targets are fortified with barbed wire fences and guard towers.

**Rules of Engagement:**

* Engage only confirmed military targets within the designated zone.
* Minimize collateral damage to civilian infrastructure.
* Utilize precision-guided munitions to ensure accuracy.
* REDLAND forces will respond to any detected threats promptly.","##Training Scenario: Operation Frostbite
**Commander’s Intent:**

* Disrupt REDLAND’s coastal defenses and radar capabilities.

**Force Composition:**

* REDLAND Air Force: unspecified number of missile systems and fighter jets.
* REDLAND Coastal Defense Forces: coastal defense batteries with unspecified armament.

**Geography:**

* Distance to targets: approximately 5 km from the coastline.
* Environmental Conditions: Nighttime mission.

**Surrounding Conditions:**

* REDLAND forces are on alert with regular coastal patrols.

**Target(s) Details:**

* Main radar installation and coastal defense batteries.

**Rules of Engagement:**

* Engage confirmed military targets only.
* Minimize civilian casualties and collateral damage."
